Product Name,Factory,Region,Ship Mode,Sales,Units,Cost,Gross Profit,distance
13,0,1,2,10.8,3,3.3,7.5,1295.2764679692775
11,0,2,3,10.47,3,3.0,7.47,1050.6508651618717
9,0,0,0,3.6,1,1.2,2.4,2029.961989837941
9,0,2,2,21.6,6,7.2,14.4,1050.6508651618717
10,4,0,3,19.5,6,6.84,12.66,556.7755484078125
10,4,1,3,22.75,7,7.98,14.77,546.1554620265517
9,0,0,3,46.8,13,15.6,31.2,2029.961989837941
10,4,3,3,16.25,5,5.7,10.55,2223.52794771853
12,4,2,2,18.75,5,6.5,12.25,948.197779548434
11,0,1,2,3.49,1,1.0,2.49,1295.2764679692775
13,0,0,0,28.8,8,8.8,20.0,2029.961989837941
12,4,0,3,11.25,3,3.9,7.35,556.7755484078125
12,4,2,3,22.5,6,7.8,14.7,948.197779548434
6,1,3,3,80.0,4,40.0,40.0,1595.9984431370217
13,0,2,3,10.8,3,3.3,7.5,1050.6508651618717
9,0,0,3,7.2,2,2.4,4.8,2029.961989837941
9,0,1,2,10.8,3,3.6,7.2,1295.2764679692775
10,4,3,3,26.0,8,9.12,16.88,2223.52794771853
12,4,1,0,33.75,9,11.7,22.05,546.1554620265517
12,4,3,3,3.75,1,1.3,2.45,2223.52794771853
12,4,2,3,3.75,1,1.3,2.45,948.197779548434
12,4,3,3,11.25,3,3.9,7.35,2223.52794771853
13,0,0,1,14.4,4,4.4,10.0,2029.961989837941
11,0,3,3,20.94,6,6.0,14.94,545.5075532968295
10,4,1,3,13.0,4,4.56,8.44,546.1554620265517
12,4,0,2,3.75,1,1.3,2.45,556.7755484078125
10,4,1,3,9.75,3,3.42,6.33,546.1554620265517
13,0,0,3,10.8,3,3.3,7.5,2029.961989837941
11,0,3,3,10.47,3,3.0,7.47,545.5075532968295
10,4,3,2,22.75,7,7.98,14.77,2223.52794771853
13,0,2,3,14.4,4,4.4,10.0,1050.6508651618717
11,0,2,0,6.98,2,2.0,4.98,1050.6508651618717
11,0,0,3,3.49,1,1.0,2.49,2029.961989837941
10,4,1,3,9.75,3,3.42,6.33,546.1554620265517
12,4,3,2,11.25,3,3.9,7.35,2223.52794771853
13,0,0,0,14.4,4,4.4,10.0,2029.961989837941
11,0,3,3,3.49,1,1.0,2.49,545.5075532968295
13,0,1,1,18.0,5,5.5,12.5,1295.2764679692775
11,0,0,3,3.49,1,1.0,2.49,2029.961989837941
9,0,3,3,18.0,5,6.0,12.0,545.5075532968295
14,1,0,2,3.75,3,1.8,1.95,785.2031667840515
10,4,0,2,13.0,4,4.56,8.44,556.7755484078125
13,0,1,0,7.2,2,2.2,5.0,1295.2764679692775
9,0,3,3,7.2,2,2.4,4.8,545.5075532968295
