Row ID,Order ID,Order Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost,Factory,Latitude,Longitude,Region_Lat,Region_Lon,distance,base_days,lead_time_days,Ship Date
1,US-2021-103800-CHO-MIL-31000,03-01-2024,Standard Class,103800,United States,Houston,Texas,77095,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,6.498160475,8,11-01-2024
2,US-2021-112326-CHO-TRI-54000,04-01-2024,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,8.802857226,12,16-01-2024
3,US-2021-112326-CHO-NUT-13000,04-01-2024,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,7.927975767,11,15-01-2024
4,US-2021-112326-CHO-SCR-58000,04-01-2024,Standard Class,112326,United States,Naperville,Illinois,60540,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,Lot's O' Nuts,32.881893,-111.768036,40,-95,1050.650865,7.394633937,11,15-01-2024
5,US-2021-141817-CHO-TRI-54000,05-01-2024,Standard Class,141817,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,5.624074562,6,11-01-2024
6,US-2021-167199-CHO-SCR-58000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,32.4,9,22.5,9.9,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,5.623978081,8,14-01-2024
7,US-2021-167199-CHO-TRI-54000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,5.232334449,7,13-01-2024
8,US-2021-106054-CHO-MIL-31000,06-01-2024,First Class,106054,United States,Athens,Georgia,30605,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,2.732352292,3,09-01-2024
9,US-2021-167199-CHO-NUT-13000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,7.404460047,10,16-01-2024
10,US-2021-167199-CHO-MIL-31000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,7.832290311,9,15-01-2024
11,US-2021-167199-CHO-MIL-31000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,5.082337977,6,12-01-2024
12,US-2021-130813-CHO-MIL-31000,06-01-2024,Second Class,130813,United States,Los Angeles,California,90049,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,4.939819704,9,15-01-2024
13,US-2021-167199-CHO-SCR-58000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,8.329770563,12,18-01-2024
14,US-2021-167199-CHO-FUD-51000,06-01-2024,Standard Class,167199,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,5.849356443,8,14-01-2024
15,US-2021-105417-CHO-MIL-31000,07-01-2024,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,5.727299869,7,14-01-2024
16,US-2021-105417-CHO-TRI-54000,07-01-2024,Standard Class,105417,United States,Huntsville,Texas,77340,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,5.733618039,9,16-01-2024
17,US-2021-135405-CHO-TRI-54000,09-01-2024,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,6.216968972,10,19-01-2024
18,US-2021-135405-CHO-TRI-54000,09-01-2024,Standard Class,135405,United States,Laredo,Texas,78041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,Wicked Choccy's,32.076176,-81.088371,40,-95,948.1977795,7.099025727,9,18-01-2024
19,US-2021-149020-CHO-MIL-31000,10-01-2024,Standard Class,149020,United States,Springfield,Virginia,22153,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,Wicked Choccy's,32.076176,-81.088371,30,-90,546.155462,6.727780075,7,17-01-2024
20,US-2021-149020-OTH-GUM-21000,10-01-2024,Standard Class,149020,United States,Springfield,Virginia,22153,Other,Gulf,OTH-GUM-21000,Wonka Gum,1.25,1,0.65,0.6,Secret Factory,41.446333,-90.565487,30,-90,790.9446495,6.164916561,8,18-01-2024
21,US-2021-130092-CHO-MIL-31000,11-01-2024,First Class,130092,United States,Dover,Delaware,19901,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,Wicked Choccy's,32.076176,-81.088371,39,-76,556.7755484,2.223705789,5,16-01-2024
22,US-2021-157147-CHO-MIL-31000,13-01-2024,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,5.557975443,11,24-01-2024
23,US-2021-109232-CHO-NUT-13000,13-01-2024,Second Class,109232,United States,Mount Pleasant,South Carolina,29464,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6,Lot's O' Nuts,32.881893,-111.768036,30,-90,1295.276468,3.584289297,7,20-01-2024
24,US-2021-157147-CHO-MIL-31000,13-01-2024,Standard Class,157147,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,Wicked Choccy's,32.076176,-81.088371,37,-120,2223.527948,6.465447373,11,24-01-2024
